,date,team_id,CURRENT_SCORE_FEATURE,LAST_WIN_FEATURE,MINOR_PERIOD_FEATURE,MIN_TEAM_FEATURE,ONE_MAYOR_FEATURE,PRE_RANK_FEATURE,PRE_VS_FEATURE,RANK_STATUS_FEATURE,TWO_MAYOR_FEATURE
10,20040807,14564,1.0,"{'win': 1, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 1, 'toteam': 14573, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14573, 'area': 1}","{'weight_score': 0, 'toteam': 14573, 'weight_num': 0}",1.0
11,20040807,14566,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 1}",2.0,"{'pre': 0, 'weight_score': 7, 'toteam': 14546, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14546, 'area': 2}","{'weight_score': 0, 'toteam': 14546, 'weight_num': 0}",2.0
12,20040807,14573,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -1, 'toteam': 14564, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14564, 'area': 2}","{'weight_score': 0, 'toteam': 14564, 'weight_num': 0}",1.0
13,20040807,14584,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -10, 'toteam': 14561, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14561, 'area': 2}","{'weight_score': 0, 'toteam': 14561, 'weight_num': 0}",1.0
14,20040807,14629,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 6, 'toteam': 14557, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14557, 'area': 2}","{'weight_score': 0, 'toteam': 14557, 'weight_num': 0}",2.0
15,20040807,14640,3.0,"{'win': 3, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 8, 'toteam': 14554, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14554, 'area': 1}","{'weight_score': 0, 'toteam': 14554, 'weight_num': 0}",2.0
16,20040809,14547,0.0,"{'win': 0, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -1, 'toteam': 14555, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14555, 'area': 1}","{'weight_score': 0, 'toteam': 14555, 'weight_num': 0}",2.0
17,20040809,14555,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 1, 'toteam': 14547, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14547, 'area': 2}","{'weight_score': 0, 'toteam': 14547, 'weight_num': 0}",2.0
18,20040810,14517,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 2, 'toteam': 14556, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14556, 'area': 2}","{'weight_score': 0, 'toteam': 14556, 'weight_num': 0}",2.0
19,20040810,14556,0.0,"{'win': 0, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -2, 'toteam': 14517, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14517, 'area': 1}","{'weight_score': 0, 'toteam': 14517, 'weight_num': 0}",2.0
